FBgn_ID	Gene_name	CG_ID	tau	Age_classification	HK_bin	min	class
FBgn0000057	adp	CG5124	0.51	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000061	al	CG3935	0.809	Bilateria	non_HKs	0	TS
FBgn0000063	Mps1	CG7643	0.356	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000064	Ald	CG6058	0.398	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000071	Ama	CG2198	0.609	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000075	amd	CG10501	0.814	Bilateria	non_HKs	0	TS
FBgn0000077	amx	CG12127	0.38	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000078	Amy-d	CG17876	0.795	mel-group	non_HKs	0	TS
FBgn0000079	Amy-p	CG18730	0.79	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	TS
FBgn0000083	AnxB9	CG5730	0.199	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000084	AnxB10	CG9579	0.407	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000092	CG2650	CG2650	0.867	Pan-drosophilid	non_HKs	0	TS
FBgn0000094	Anp	CG1361	0.912	mel-subgroup	non_HKs	0	TS
FBgn0000097	aop	CG3166	0.397	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000100	RpLP0	CG7490	0.158	Cellular_Organisms	HK	90.5947887	non_TS_HK
FBgn0000108	Appl	CG7727	0.716	Bilateria	non_HKs	0	TS
FBgn0000109	Aprt	CG18315	0.328	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000114	aret	CG31762	0.705	Bilateria	non_HKs	0	TS
FBgn0000115	Arl1	CG6025	0.316	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000116	Argk	CG32031	0.465	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000117	arm	CG11579	0.242	Eukaryota	HK	18.30658635	non_TS_HK
FBgn0000119	arr	CG5912	0.314	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000120	Arr1	CG5711	0.824	Diptera	non_HKs	0	TS
FBgn0000121	Arr2	CG5962	0.812	Diptera	non_HKs	0	TS
FBgn0000137	ase	CG3258	0.898	Pan-drosophilid	non_HKs	0	TS
FBgn0000139	ash2	CG6677	0.436	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000140	asp	CG6875	0.532	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000146	aub	CG6137	0.565	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000147	aurA	CG3068	0.512	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000150	awd	CG2210	0.212	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000152	Axs	CG9703	0.355	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000153	b	CG7811	0.729	Diptera	non_HKs	0	TS
FBgn0000157	Dll	CG3629	0.755	Bilateria	non_HKs	0	TS
FBgn0000158	bam	CG10422	0.754	Pan-drosophilid	non_HKs	0	TS
FBgn0000163	baz	CG5055	0.471	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000166	bcd	CG1034	0.838	Pan-drosophilid	non_HKs	0	TS
FBgn0000173	ben	CG18319	0.291	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000179	bi	CG3578	0.773	Bilateria	non_HKs	0	TS
FBgn0000180	bib	CG4722	0.714	Eukaryota	non_HKs	0	TS
FBgn0000181	bic	CG3644	0.202	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000182	BicC	CG4824	0.958	Bilateria	non_HKs	0	TS
FBgn0000183	BicD	CG6605	0.311	Bilateria	HK	6.986191837	non_TS_HK
FBgn0000206	boss	CG8285	0.852	Diptera	non_HKs	0	TS
FBgn0000212	brm	CG5942	0.339	Eukaryota	HK	2.0774836	non_TS_HK
FBgn0000216	Brd	CG3096	0.869	Pan-drosophilid	non_HKs	0	TS
FBgn0000221	brn	CG4934	0.559	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000227	Bsg25A	CG12205	0.966	Pan-drosophilid	non_HKs	0	TS
FBgn0000228	Bsg25D	CG14025	0.55	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000229	bsk	CG5680	0.262	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000233	btd	CG12653	0.88	Eukaryota	non_HKs	0	TS
FBgn0000239	bur	CG9242	0.26	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000241	bw	CG17632	0.502	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000244	by	CG9379	0.479	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000246	c(3)G	CG17604	0.546	mel-group	non_HKs	0	non_TS_non_HK
FBgn0000247	ca	CG31037	0.374	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000250	cact	CG5848	0.309	Bilateria	HK	12.60524034	non_TS_HK
FBgn0000251	cad	CG1759	0.685	Bilateria	non_HKs	0	TS
FBgn0000253	Cam	CG8472	0.236	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	HK	24.51200198	non_TS_HK
FBgn0000256	capu	CG3399	0.672	Eukaryota	non_HKs	0	TS
FBgn0000257	car	CG12230	0.306	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000259	CkIIbeta	CG15224	0.292	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000261	Cat	CG6871	0.335	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000273	Pka-C1	CG4379	0.268	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	2.852763475	non_TS_HK
FBgn0000274	Pka-C2	CG12066	0.898	Diptera	non_HKs	0	TS
FBgn0000276	CecA1	CG1365	0.703	Pan-drosophilid	non_HKs	0	TS
FBgn0000277	CecA2	CG1367	0.744	Pan-drosophilid	non_HKs	0	TS
FBgn0000278	CecB	CG1878	0.798	Pan-drosophilid	non_HKs	0	TS
FBgn0000279	CecC	CG1373	0.67	Pan-drosophilid	non_HKs	0	TS
FBgn0000283	Cp190	CG6384	0.303	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000286	Cf2	CG11924	0.478	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000287	salr	CG4881	0.831	Diptera	non_HKs	0	TS
FBgn0000289	cg	CG8367	0.214	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000299	Cg25C	CG4145	0.456	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0.127505246	non_TS_non_HK
FBgn0000303	ChAT	CG12345	0.764	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000307	chif	CG5813	0.327	Bilateria	HK	2.174208067	non_TS_HK
FBgn0000308	chic	CG9553	0.202	Eukaryota	HK	39.08167721	non_TS_HK
FBgn0000316	cin	CG2945	0.252	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000317	ck	CG7595	0.349	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000318	cl	CG11024	0.312	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000319	Chc	CG9012	0.17	Eukaryota	HK	23.00175902	non_TS_HK
FBgn0000320	eya	CG9554	0.827	Eukaryota	non_HKs	0	TS
FBgn0000326	clt	CG9858	0.432	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000330	cm	CG3035	0.273	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000337	cn	CG1555	0.846	Cellular_Organisms	non_HKs	0	TS
FBgn0000339	cni	CG5855	0.416	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000346	comt	CG1618	0.567	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000351	cort	CG11330	0.605	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000352	cos	CG1708	0.371	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000355	Cp15	CG6519	0.861	Pan-drosophilid	non_HKs	0	TS
FBgn0000356	Cp16	CG6533	0.911	Pan-drosophilid	non_HKs	0	TS
FBgn0000357	Cp18	CG6517	0.885	Pan-drosophilid	non_HKs	0	TS
FBgn0000358	Cp19	CG6524	0.913	Pan-drosophilid	non_HKs	0	TS
FBgn0000359	Cp36	CG1478	0.89	Pan-drosophilid	non_HKs	0	TS
FBgn0000360	Cp38	CG11213	0.884	Pan-drosophilid	non_HKs	0	TS
FBgn0000370	crc	CG8669	0.232	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000376	crm	CG2714	0.543	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000377	crn	CG3193	0.361	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000382	csw	CG3954	0.386	Bilateria	HK	3.437633436	non_TS_HK
FBgn0000384	cta	CG17678	0.217	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000392	cup	CG11181	0.995	Pan-drosophilid	non_HKs	0	TS
FBgn0000394	cv	CG12410	0.299	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000395	cv-2	CG15671	0.451	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000404	CycA	CG5940	0.459	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000405	CycB	CG3510	0.522	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000406	Cyt-b5-r	CG13279	0.627	Diptera	non_HKs	0	TS
FBgn0000411	D	CG5893	0.781	Diptera	non_HKs	0	TS
FBgn0000412	D1	CG9745	0.243	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000414	Dab	CG9695	0.437	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000416	Sap-r	CG12070	0.274	Eukaryota	HK	16.09234835	non_TS_HK
FBgn0000422	Ddc	CG10697	0.71	Diptera	non_HKs	0	TS
FBgn0000426	SmF	CG16792	0.316	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000427	1-Dec	CG2175	0.887	Pan-drosophilid	non_HKs	0	TS
FBgn0000439	Dfd	CG2189	0.76	Pan-drosophilid	non_HKs	0	TS
FBgn0000442	Pkg21D	CG3324	0.783	Diptera	non_HKs	0	TS
FBgn0000447	Dhod	CG9741	0.476	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000448	Hr46	CG33183	0.909	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000449	dib	CG12028	0.688	Pan-drosophilid	non_HKs	0	TS
FBgn0000451	ect	CG6611	0.838	Pan-drosophilid	non_HKs	0	TS
FBgn0000454	Dip-B	CG9285	0.306	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000455	Dip-C	CG5663	0.412	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000459	disco	CG9908	0.698	Pan-drosophilid	non_HKs	0	TS
FBgn0000463	Dl	CG3619	0.689	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000464	Lar	CG10443	0.722	Eukaryota	non_HKs	0	TS
FBgn0000473	Cyp6a2	CG9438	0.738	Bilateria	non_HKs	0	TS
FBgn0000477	DNaseII	CG7780	0.63	Eukaryota	non_HKs	0	TS
FBgn0000479	dnc	CG32498	0.406	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000482	dor	CG3093	0.369	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000489	Pka-C3	CG6117	0.636	mel-group	non_HKs	0	TS
FBgn0000490	dpp	CG9885	0.548	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000492	Dr	CG1897	0.651	Bilateria	non_HKs	0	TS
FBgn0000499	dsh	CG18361	0.532	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000500	Dsk	CG18090	0.808	Pan-drosophilid	non_HKs	0	TS
FBgn0000504	dsx	CG11094	0.625	Diptera	non_HKs	0	TS
FBgn0000520	dwg	CG2711	0.459	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000524	dx	CG3929	0.43	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000527	e	CG3331	0.793	Cellular_Organisms	non_HKs	0	TS
FBgn0000529	bsh	CG10604	0.843	Bilateria	non_HKs	0	TS
FBgn0000533	ea	CG4920	0.622	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000535	eag	CG10952	0.754	Eukaryota	non_HKs	0	TS
FBgn0000536	eas	CG3525	0.348	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000541	E(bx)	CG32346	0.244	Bilateria	HK	7.950672222	non_TS_HK
FBgn0000542	ec	CG2904	0.654	Diptera	non_HKs	0	TS
FBgn0000543	ecd	CG5714	0.396	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000546	EcR	CG1765	0.415	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0.58847709	non_TS_non_HK
FBgn0000547	ed	CG12676	0.419	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000551	Edg78E	CG7673	0.933	Pan-drosophilid	non_HKs	0	TS
FBgn0000552	Edg84A	CG2345	0.972	Pan-drosophilid	non_HKs	0	TS
FBgn0000557	Ef1alpha100E	CG1873	0.643	Cellular_Organisms	non_HKs	0	TS
FBgn0000559	EF2	CG2238	0.1	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	211.47521	non_TS_HK
FBgn0000560	eg	CG7383	0.875	Pan-drosophilid	non_HKs	0	TS
FBgn0000562	egl	CG4051	0.248	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000564	Eh	CG5400	0.898	Diptera	non_HKs	0	TS
FBgn0000565	Eip71CD	CG7266	0.476	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000566	Eip55E	CG5345	0.481	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000567	Eip74EF	CG32180	0.559	Bilateria	non_HKs	0.017867776	non_TS_non_HK
FBgn0000568	Eip75B	CG8127	0.471	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000575	emc	CG1007	0.288	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000576	ems	CG2988	0.826	Pan-drosophilid	non_HKs	0	TS
FBgn0000577	en	CG9015	0.812	Bilateria	non_HKs	0	TS
FBgn0000578	ena	CG15112	0.422	Bilateria	HK	2.591554706	non_TS_HK
FBgn0000579	Eno	CG17654	0.342	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0000581	E(Pc)	CG7776	0.301	Eukaryota	HK	3.383952142	non_TS_HK
FBgn0000588	esc	CG14941	0.5	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000591	E(spl)m8-HLH	CG8365	0.89	Pan-drosophilid	non_HKs	0	TS
FBgn0000592	Est-6	CG6917	0.807	Bilateria	non_HKs	0	TS
FBgn0000594	Est-P	CG17148	0.781	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0000606	eve	CG2328	0.949	Bilateria	non_HKs	0	TS
FBgn0000611	exd	CG8933	0.177	Bilateria	HK	17.53823686	non_TS_HK
FBgn0000615	exu	CG8994	0.674	Pan-drosophilid	non_HKs	0	TS
FBgn0000617	e(y)1	CG6474	0.4	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000618	e(y)2	CG15191	0.301	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0000625	eyg	CG10488	0.846	Bilateria	non_HKs	0	TS
FBgn0000629	E(z)	CG6502	0.302	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000633	fas	CG17716	0.704	Bilateria	non_HKs	0	TS
FBgn0000635	Fas2	CG3665	0.378	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000636	Fas3	CG5803	0.539	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000639	Fbp1	CG17285	0.786	Pan-drosophilid	non_HKs	0	TS
FBgn0000640	Fbp2	CG3763	0.784	Eukaryota	non_HKs	0	TS
FBgn0000644	Fcp3C	CG4015	0.8	Pan-drosophilid	non_HKs	0	TS
FBgn0000658	fj	CG10917	0.75	Bilateria	non_HKs	0	TS
FBgn0000659	fkh	CG10002	0.641	Bilateria	non_HKs	0	TS
FBgn0000662	fl(2)d	CG6315	0.243	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000667	Actn	CG4376	0.446	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000709	fliI	CG1484	0.4	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0000711	flw	CG2096	0.346	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0000715	FMRFa	CG2346	0.839	Bilateria	non_HKs	0	TS
FBgn0000719	fog	CG9559	0.354	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000721	for	CG10033	0.318	Diptera	non_HKs	0	non_TS_non_HK
FBgn0000723	FER	CG8874	0.386	Bilateria	non_HKs	0.289989108	non_TS_non_HK
FBgn0000808	gd	CG1505	0.68	Diptera	non_HKs	0	TS
FBgn0000810	fs(1)K10	CG3218	0.303	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0000826	png	CG11420	0.773	Cellular_Organisms	non_HKs	0	TS
FBgn0000927	fs(1)Ya	CG2707	0.83	Pan-drosophilid	non_HKs	0	TS
FBgn0000928	fs(1)Yb	CG2706	0.667	Pan-drosophilid	non_HKs	0	TS
FBgn0000964	tj	CG10034	0.895	Bilateria	non_HKs	0	TS
FBgn0000996	dup	CG8171	0.496	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001075	ft	CG3352	0.706	Diptera	non_HKs	0	TS
FBgn0001077	ftz	CG2047	0.956	Pan-drosophilid	non_HKs	0	TS
FBgn0001078	ftz-f1	CG4059	0.619	Bilateria	non_HKs	0	TS
FBgn0001079	fu	CG6551	0.453	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001083	fw	CG1500	0.775	Bilateria	non_HKs	0	TS
FBgn0001084	fy	CG13396	0.637	Bilateria	non_HKs	0	TS
FBgn0001085	fz	CG17697	0.387	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001086	fzy	CG4274	0.421	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001087	g	CG10986	0.275	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001089	Gal	CG9092	0.524	Diptera	non_HKs	0	non_TS_non_HK
FBgn0001090	bnb	CG7088	0.754	Pan-drosophilid	non_HKs	0	TS
FBgn0001091	Gapdh1	CG12055	0.397	mel-subgroup	non_HKs	0	non_TS_non_HK
FBgn0001092	Gapdh2	CG8893	0.271	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001098	Gdh	CG5320	0.349	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001099	gdl	CG33756	0.897	Diptera	non_HKs	0	TS
FBgn0001104	Galphai	CG10060	0.397	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001105	Gbeta13F	CG10545	0.203	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	HK	30.06717262	non_TS_HK
FBgn0001108	DCTN1-p150	CG9206	0.257	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001112	Gld	CG1152	0.801	Diptera	non_HKs	0	TS
FBgn0001114	Glt	CG9280	0.605	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001120	gnu	CG5272	0.828	Pan-drosophilid	non_HKs	0	TS
FBgn0001122	Galphao	CG2204	0.476	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001123	Galphas	CG2835	0.218	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001124	Got1	CG8430	0.34	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001125	Got2	CG4233	0.309	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001128	Gpdh	CG9042	0.478	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001133	grau	CG33133	0.403	Diptera	non_HKs	0	non_TS_non_HK
FBgn0001134	Grd	CG7446	0.685	Bilateria	non_HKs	0	TS
FBgn0001137	grk	CG17610	0.356	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001138	grn	CG9656	0.761	Bilateria	non_HKs	0	TS
FBgn0001139	gro	CG8384	0.293	Bilateria	non_HKs	0	non_TS_non_HK
FBgn0001142	Gs1	CG2718	0.434	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001145	Gs2	CG1743	0.494	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001147	gsb-n	CG2692	0.858	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0001148	gsb	CG3388	0.912	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	TS
FBgn0001149	GstD1	CG10045	0.289	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001150	gt	CG7952	0.895	Bilateria	non_HKs	0	TS
FBgn0001168	h	CG6494	0.342	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001169	H	CG5460	0.341	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001170	H2.0	CG11607	0.844	Pan-drosophilid	non_HKs	0	TS
FBgn0001174	halo	CG7428	0.954	Pan-drosophilid	non_HKs	0	TS
FBgn0001179	hay	CG8019	0.322	Cellular_Organisms	non_HKs	0	non_TS_non_HK
FBgn0001180	hb	CG9786	0.829	Bilateria	non_HKs	0	TS
FBgn0001185	her	CG4694	0.26	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001186	Hex-A	CG3001	0.329	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK
FBgn0001187	Hex-C	CG8094	0.712	Cellular_Organisms	non_HKs	0	TS
FBgn0001189	hfw	CG3095	0.291	Diptera	non_HKs	0	non_TS_non_HK
FBgn0001197	His2Av	CG5499	0.282	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001202	hook	CG10653	0.193	Eukaryota	non_HKs	0	non_TS_non_HK
FBgn0001206	Hmr	CG1619	0.508	Pan-drosophilid	non_HKs	0	non_TS_non_HK
FBgn0001208	Hn	CG7399	0.662	Diptera	non_HKs	0	TS
FBgn0001215	Hrb98DE	CG9983	0.31	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	HK	15.46866819	non_TS_HK
FBgn0001216	Hsc70-1	CG8937	0.833	Pan-drosophilid	non_HKs	0	TS
FBgn0001217	Hsc70-2	CG7756	0.872	Bilateria	non_HKs	0	TS
FBgn0001218	Hsc70-3	CG4147	0.321	Eukaryota	HK	59.76755244	non_TS_HK
