CG_ID	SSP1	SSP2	SSH11	SSH12	log2_P_ratio	log2_H_ratio	perc_cis	FBgn_ID	Gene_name	tau	Age_classification	HK_bin	min	class	pvalsPar1.adj	pvalsHyb1.adj
CG10122	134	226	141	219	-0.754089771957415	-0.63523570720238	84.2387379891757	FBgn0019938	RpI1	0.315	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	1.36853123710892e-05	0.000927844342940039
CG10123	26	30	26	30	-0.206450877467426	-0.206450877467426	100	FBgn0040268	Top3alpha	0.422	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.827940027433163	0.910379479325357
CG10128	58	50	64	44	0.214124805352847	0.540568381362703	62.3484343861729	FBgn0003742	tra2	0.497	Eukaryota	non_HKs	0	non_TS_non_HK	0.676188351384635	0.255042383341261
CG10130	140	86	113	113	0.703018262242869	0	0	FBgn0010638	Sec61beta	0.291	Eukaryota	non_HKs	0	non_TS_non_HK	0.00226448878153501	1
CG10133	20	28	16	32	-0.485426827170242	-1	66.0252022113693	FBgn0036366	CG10133	0.468	Eukaryota	non_HKs	0	non_TS_non_HK	0.498416531430881	0.150716913050976
CG10144	75	72	58	89	0.0588936890535686	-0.617752435838826	47.7250558351865	FBgn0035704	CG10144	0.424	Eukaryota	non_HKs	0	non_TS_non_HK	0.95401580767736	0.0874947482390969
CG10155	47	40	37	50	0.232660756790275	-0.434402824145775	39.438590422874	FBgn0020767	Spred	0.253	Bilateria	non_HKs	0	non_TS_non_HK	0.69353663756763	0.486362685265796
CG10165	43	34	40	37	0.338801913451758	0.112474729258413	33.1977845439258	FBgn0032801	CG10165	0.552	Eukaryota	non_HKs	0	non_TS_non_HK	0.551379589306965	0.975077531265419
CG10166	31	35	33	33	-0.175086706558091	0	0	FBgn0032799	CG10166	0.355	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.84299818619217	1
CG10171	112	134	116	130	-0.258734268400168	-0.164386817900882	63.5350001827494	FBgn0036353	CG10171	0.534	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.338938201570936	0.716471640601577
CG10173	74	99	84	89	-0.41990325445066	-0.0834160081876375	19.8655302866768	FBgn0035696	Best2	0.683	Bilateria	non_HKs	0	TS	0.163773501527324	0.950538933934983
CG10188	151	138	140	149	0.12988028254691	-0.0898855035171952	29.0279764824281	FBgn0032796	CG10188	0.383	Bilateria	non_HKs	0	non_TS_non_HK	0.659798877657518	0.8773527860455
CG10189	23	20	23	20	0.20163386116965	0.20163386116965	100	FBgn0032793	CG10189	0.438	Eukaryota	non_HKs	0	non_TS_non_HK	0.880408527247562	0.950538933934983
CG10192	81	196	123	154	-1.27485984123058	-0.324272035355662	25.4358969408474	FBgn0260634	eIF4G2	0.576	Bilateria	non_HKs	0	non_TS_non_HK	7.64307541643619e-11	0.266748306004065
CG10195	28	26	26	28	0.106915203916512	-0.106915203916512	33.3333333333333	FBgn0032787	CG10195	0.399	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.96468055018243	1
CG10198	145	165	166	144	-0.186413124230881	0.205114429904612	34.3781422345942	FBgn0039120	Nup98-96	0.282	Eukaryota	non_HKs	0	non_TS_non_HK	0.460913983425031	0.536937116185633
CG1021	35	41	37	39	-0.228268987673117	-0.0759488532332986	33.2716476326858	FBgn0037443	Dmtn	0.43	Bilateria	non_HKs	0	non_TS_non_HK	0.735701897164691	1
CG10210	117	125	109	133	-0.0954195650786824	-0.287098110724263	59.9649349868233	FBgn0039117	tst	0.273	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.804570378085042	0.396755455163011
CG10214	50	60	56	54	-0.263034405833794	0.0524674198941355	14.2586426769002	FBgn0039115	CG10214	0.466	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.577053991551302	1
CG10217	194	171	186	179	0.18206032730123	0.0553430338437748	30.3981843074501	FBgn0039113	CG10217	0.334	Bilateria	non_HKs	0	non_TS_non_HK	0.42541695012581	0.945134234066429
CG10219	28	25	24	29	0.16349873228288	-0.273018494406416	38.4784706800671	FBgn0039112	SdhD	0.365	Eukaryota	non_HKs	0	non_TS_non_HK	0.89517450334799	0.840852728415943
CG10221	235	186	216	205	0.337358135456968	0.0754074026580226	22.3523296854482	FBgn0028475	Hrd3	0.409	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.061701998661388	0.870507580552392
CG10225	128	133	112	149	-0.0552824355011897	-0.411813598404557	53.5975019473735	FBgn0039110	RanBP3	0.438	Bilateria	non_HKs	0	non_TS_non_HK	0.90795343303591	0.137502184602944
CG10228	262	239	261	240	0.132556193556702	0.121015400961366	91.2936602314253	FBgn0264962	Pcf11	0.208	Bilateria	non_HKs	0	non_TS_non_HK	0.513999250683036	0.682909657711377
CG10229	45	33	42	36	0.447458976971221	0.222392421336448	49.7011866521903	FBgn0040208	Kat60	0.3	Diptera	non_HKs	0	non_TS_non_HK	0.382685786054941	0.83287713897642
CG10230	289	305	346	248	-0.0777397499495698	0.48043191724985	46.2574869221739	FBgn0028691	Rpn9	0.287	Eukaryota	non_HKs	0	non_TS_non_HK	0.710571981878827	0.00130946573308185
CG10234	88	113	98	103	-0.36074734377789	-0.0717906830680101	19.900543775649	FBgn0024230	Hs2st	0.355	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.203991013076762	0.955292363151359
CG10236	77	102	93	86	-0.405638801276594	0.112894056405933	17.8791961329221	FBgn0002526	LanA	0.322	Eukaryota	HK	0.855819095	non_TS_HK	0.173422828151773	0.890241663203139
CG10237	734	577	624	687	0.34720874419773	-0.138764069955852	22.2116019536226	FBgn0032783	CG10237	0.618	Diptera	non_HKs	0	TS	0.000128768071384289	0.297440014721077
CG1024	30	38	25	43	-0.341036917835067	-0.782408564927373	63.9337486619527	FBgn0027514	CG1024	0.618	Pan-drosophilid	non_HKs	0	TS	0.5810680908125	0.177148940538334
CG10249	84	39	79	44	1.10691520391651	0.844349129539806	76.279477104688	FBgn0027596	Kank	0.613	Bilateria	non_HKs	0	TS	0.000425495147193311	0.0217227357855476
CG10254	174	147	169	152	0.243271151012364	0.152951922838599	62.8730214010561	FBgn0027512	CG10254	0.535	Eukaryota	non_HKs	0	non_TS_non_HK	0.291428502238292	0.682909657711377
CG10255	61	65	67	59	-0.0916304754655682	0.183446141095931	40.0080776869502	FBgn0033984	Lap1	0.336	Diptera	non_HKs	0	non_TS_non_HK	0.899040949494052	0.807064797322673
CG10260	60	215	119	156	-1.84130225398094	-0.390584455554305	21.2124030538632	FBgn0267350	PI4KIIIalpha	0.292	Eukaryota	non_HKs	0	non_TS_non_HK	5.42643370267714e-20	0.151630255202592
CG10263	64	47	56	55	0.445411148322363	0.0259952085329444	5.83622763616382	FBgn0032812	Hakai	0.524	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.265251043936309	1
CG10269	113	117	126	104	-0.0501857571682168	0.276840205358824	45.8446291714009	FBgn0022935	D19A	0.554	Diptera	non_HKs	0	non_TS_non_HK	0.937244941999274	0.440705921743049
CG10270	94	85	97	82	0.145197915539936	0.242360837569044	71.382585376615	FBgn0022699	D19B	0.364	Diptera	non_HKs	0	non_TS_non_HK	0.722569555885656	0.61432161088518
CG10274	43	54	55	42	-0.328622747461371	0.389042290745899	35.1531322299901	FBgn0035690	CG10274	0.618	Diptera	non_HKs	0	TS	0.495867130731557	0.5244427630505
CG10279	22	20	19	23	0.137503523749935	-0.275634442613427	40.0182177771752	FBgn0003261	Rm62	0.2	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	HK	25.65810773	non_TS_HK	0.960789406476561	0.88262460699004
CG10281	137	99	113	123	0.468675462880917	-0.122335542924052	17.1495247495091	FBgn0010282	TfIIFalpha	0.442	Bilateria	non_HKs	0	non_TS_non_HK	0.0529230185240221	0.824579879410799
CG10283	44	26	27	43	0.758991900496205	-0.671377252538629	31.9437802181202	FBgn0032681	CG10283	0.571	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.112882969957527	0.268756427329121
CG10289	192	192	196	188	0	0.0601209924375709	50	FBgn0035688	CG10289	0.159	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.924783627260559
CG10293	70	59	76	53	0.246639967583125	0.520007058880386	65.5437360498763	FBgn0264491	how	0.299	Bilateria	non_HKs	0	non_TS_non_HK	0.56500924613311	0.217617008592026
CG10306	416	445	404	457	-0.0972218077126679	-0.177838872306275	68.8081978071041	FBgn0034654	CG10306	0.245	Eukaryota	non_HKs	0	non_TS_non_HK	0.529641371052935	0.276958554139648
CG1031	61	57	63	55	0.0978473233981446	0.195920209975257	66.6410920095729	FBgn0015568	alpha-Est1	0.486	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.894247055568014	0.800018040403883
CG10318	64	43	47	60	0.573735245297902	-0.352301743930881	27.559342042316	FBgn0034650	NC2alpha	0.576	Eukaryota	non_HKs	0	non_TS_non_HK	0.135529824002448	0.552848842655939
CG10320	228	257	247	238	-0.172734535029136	0.0535494682767343	19.1361912404131	FBgn0034645	ND-B12	0.38	Bilateria	non_HKs	0	non_TS_non_HK	0.369602567334805	0.923357375314701
CG10321	220	292	254	258	-0.408464845355358	-0.0225425686510883	5.51885159945078	FBgn0034643	CG10321	0.233	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.00782370906926696	1
CG10326	58	76	58	76	-0.389946518316013	-0.389946518316013	100	FBgn0038453	CG10326	0.343	Bilateria	non_HKs	0	non_TS_non_HK	0.284007122010704	0.402487296770488
CG10327	56	48	62	42	0.222392421336448	0.561878887608115	62.3364194318761	FBgn0025790	TBPH	0.266	Diptera	non_HKs	0	non_TS_non_HK	0.669818146761103	0.242199512935343
CG10333	46	52	57	41	-0.176877762084079	0.475338009546658	42.15657093095	FBgn0032690	CG10333	0.305	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.776077413308103	0.379895813245242
CG10334	66	47	57	56	0.489805267680816	0.0255350921071375	5.21331512583436	FBgn0005672	spi	0.273	Diptera	non_HKs	0	non_TS_non_HK	0.203718504470759	1
CG10335	127	91	130	88	0.48089004657347	0.562936194391157	87.2793187582923	FBgn0036271	Pbgs	0.338	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.0575001294933788	0.0464598342546285
CG10338	30	29	35	24	0.0489096004809465	0.54432051622381	52.3520304848548	FBgn0032700	CG10338	0.264	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.480487511828058
CG10340	71	108	85	94	-0.605140382658786	-0.145197915539936	23.9940879341061	FBgn0022344	CG10340	0.309	Eukaryota	non_HKs	0	non_TS_non_HK	0.0266952747494818	0.817961995907879
CG10341	46	20	45	21	1.20163386116965	1.09953567355091	91.5033862711429	FBgn0032701	CG10341	0.305	Eukaryota	non_HKs	0	non_TS_non_HK	0.00850418986534707	0.0395264403432097
CG10343	90	73	82	81	0.302028537449658	0.017702001733459	5.86103614013945	FBgn0032703	CG10343	0.435	Bilateria	non_HKs	0	non_TS_non_HK	0.378948842313282	1
CG10345	44	23	32	35	0.935869662580284	-0.129283016944966	10.8237737139824	FBgn0027562	CG10345	0.735	Diptera	non_HKs	0	TS	0.0474920316461368	0.972231245728003
CG10347	59	65	67	57	-0.139724763666613	0.233199176293031	38.4738958208314	FBgn0030342	CG10347	0.468	Eukaryota	non_HKs	0	non_TS_non_HK	0.804570378085042	0.726770279809695
CG10354	135	162	137	160	-0.263034405833794	-0.223896011926836	85.1204279596454	FBgn0031868	Rat1	0.393	Eukaryota	non_HKs	0	non_TS_non_HK	0.268447816912656	0.492851511419199
CG10360	517	512	516	513	0.0140204703149346	0.0084122398162	59.9996977793196	FBgn0003231	ref(2)P	0.311	Bilateria	non_HKs	0	non_TS_non_HK	0.968368916068402	1
CG10363	87	128	101	114	-0.557056504151272	-0.174678531412947	31.3574170862768	FBgn0041180	Tep4	0.31	Bilateria	non_HKs	0	non_TS_non_HK	0.0242044073073206	0.721930478414054
CG10365	75	24	57	42	1.64385618977472	0.440572591385981	26.8011638807868	FBgn0039109	CG10365	0.558	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	3.05546409780332e-06	0.430986542307209
CG10366	122	96	110	108	0.34577483684173	0.0264722113611912	7.6559103036489	FBgn0032814	CG10366	0.548	Diptera	non_HKs	0	non_TS_non_HK	0.203991013076762	1
CG10367	71	85	98	58	-0.25964381663302	0.756728848987636	42.6782585629233	FBgn0263782	Hmgcr	0.503	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.481822619784704	0.0193109755105545
CG10370	438	361	379	420	0.278932032714002	-0.148191479495031	25.7583205082302	FBgn0028684	Rpt5	0.264	Eukaryota	non_HKs	0	non_TS_non_HK	0.0273088915135083	0.427226568846257
CG10372	233	186	226	193	0.325027333546249	0.227721925147107	70.0623921879186	FBgn0025608	Faf2	0.43	Eukaryota	non_HKs	0	non_TS_non_HK	0.0751122460211635	0.361557233752275
CG10373	255	269	244	280	-0.0771089256977661	-0.19854567938208	62.0489310864398	FBgn0032704	Jwa	0.286	Bilateria	non_HKs	0	non_TS_non_HK	0.737885512492622	0.374856807648722
CG10379	524	578	519	583	-0.141502680963229	-0.167761344842616	86.4660021137246	FBgn0015513	mbc	0.325	Diptera	HK	4.036555096	non_TS_HK	0.236522289530504	0.232122289944994
CG10383	77	73	64	86	0.0769619818148841	-0.426264754702098	45.8599953554204	FBgn0032699	CG10383	0.451	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.909213877157539	0.296881784882237
CG10385	136	133	135	134	0.0321804057491497	0.0107264065930583	33.3321048736054	FBgn0005617	msl-1	0.37	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.969621344104092	1
CG10413	226	341	276	291	-0.593448966608985	-0.0763508861301149	12.8656195268803	FBgn0032689	CG10413	0.515	Eukaryota	non_HKs	0	non_TS_non_HK	1.47060924626523e-05	0.822916333169377
CG10415	113	96	122	87	0.235216461694031	0.487793841714158	65.8850354247325	FBgn0015828	TfIIEalpha	0.363	Eukaryota	non_HKs	0	non_TS_non_HK	0.446158225203822	0.11030152604072
CG10417	123	199	144	178	-0.694110115204409	-0.305808429524085	44.0576246946103	FBgn0033021	CG10417	0.225	Eukaryota	HK	22.36316494	non_TS_HK	0.000206964611574616	0.252125747999418
CG10420	36	74	47	63	-1.03952836418664	-0.422691071822279	40.6618122587744	FBgn0039296	CG10420	0.487	Eukaryota	non_HKs	0	non_TS_non_HK	0.00215290745304243	0.419317630142728
CG10423	163	185	171	177	-0.182653306285235	-0.0497530351970996	27.2390553497041	FBgn0039300	RpS27	0.141	Cellular_Organisms	HK	77.85694461	non_TS_HK	0.437059356786406	0.962355469622194
CG10425	84	131	119	96	-0.64110557875869	0.309855262586787	24.5757697431372	FBgn0039304	CG10425	0.381	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.00769593679927569	0.386738137014392
CG10426	28	23	24	27	0.283792966000591	-0.169925001442312	27.2471606223765	FBgn0036273	CG10426	0.466	Bilateria	non_HKs	0	non_TS_non_HK	0.741663493227257	0.955292363151359
CG10433	118	118	120	116	0	0.0489096004809465	50	FBgn0034638	CG10433	0.584	Diptera	non_HKs	0	non_TS_non_HK	1	0.98714541608428
CG10435	33	32	41	24	0.0443941193584534	0.772589503896927	51.4790300628871	FBgn0037539	CG10435	0.361	Diptera	non_HKs	0	non_TS_non_HK	1	0.201131109132721
CG10443	46	73	58	61	-0.666262602823004	-0.0727563424353142	10.9200699734669	FBgn0000464	Lar	0.722	Eukaryota	non_HKs	0	TS	0.0555434376760974	0.993304857852083
CG10444	197	159	199	157	0.309168864172021	0.342003871652022	91.2402343225351	FBgn0034494	CG10444	0.458	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.130476290417258	0.151595014735091
CG10449	119	73	105	87	0.704993204427926	0.271302021817394	38.4829272272979	FBgn0002022	Catsup	0.257	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.00552840688872074	0.521069152643782
CG10460	56	59	53	62	-0.0752881273042371	-0.226275855823676	59.9781863965651	FBgn0034443	cer	0.515	Bilateria	non_HKs	0	non_TS_non_HK	0.940162146376069	0.753331411932762
CG10462	100	93	107	86	0.104697378666693	0.315202231699049	59.9577675199285	FBgn0032815	CG10462	0.36	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.810279096266419	0.414537465569283
CG10463	39	46	52	33	-0.238159737194765	0.656045598782639	42.318671388783	FBgn0032819	CG10463	0.36	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.688769410834133	0.211956811139715
CG10473	252	208	245	215	0.276840205358824	0.18844508941311	68.0699861383424	FBgn0263198	Acn	0.298	Bilateria	non_HKs	0	non_TS_non_HK	0.120428449278455	0.457049794804124
CG10475	47	66	61	52	-0.489805267680816	0.230297619421794	24.2316389607144	FBgn0035667	Jon65Ai	0.79	Pan-drosophilid	non_HKs	0	TS	0.203718504470759	0.748882700151246
CG10480	123	91	115	99	0.434719865140544	0.216133430864766	49.717863892622	FBgn0002638	Rcc1	0.368	Eukaryota	non_HKs	0	non_TS_non_HK	0.0966497222607261	0.623185499729252
CG1049	392	244	328	308	0.683972506552322	0.0907654639231822	13.2703380696836	FBgn0041342	Cct1	0.334	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	non_HKs	0	non_TS_non_HK	6.7206245634321e-08	0.748523176856255
CG10492	197	176	188	185	0.162620200819079	0.0232073911613253	14.27091532567	FBgn0032748	CG10492	0.54	Bilateria	non_HKs	0	non_TS_non_HK	0.484197178888906	1
CG10494	81	98	101	78	-0.274859841230583	0.372809263889546	36.532794345395	FBgn0034634	CG10494	0.47	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.404162492101623	0.324305322191668
CG10496	43	59	50	52	-0.456378294659743	-0.0565835283663674	12.3983828829006	FBgn0034631	TAF1C-like	0.34	Pan-drosophilid	non_HKs	0	non_TS_non_HK	0.276938106278667	1
CG10504	20	21	18	23	-0.070389327891398	-0.3536369546147	55.526066257054	FBgn0028427	Ilk	0.213	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.807050204751959
CG10506	344	189	296	237	0.864022330481025	0.320710116730691	37.1182671346171	FBgn0027090	Aats-gln	0.25	Cellular_Organisms	non_HKs	0	non_TS_non_HK	3.51431407805761e-10	0.0825145333762382
CG10516	30	45	42	33	-0.584962500721156	0.347923303420307	27.1643370870961	FBgn0036549	CG10516	0.496	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian	non_HKs	0	non_TS_non_HK	0.229107614215675	0.668894185427646
CG10527	432	471	455	448	-0.124695747449315	0.0223678130284545	13.2016949196442	FBgn0034583	CG10527	0.409	Diptera	non_HKs	0	non_TS_non_HK	0.373363111680416	0.986028841925337
CG10528	44	65	50	59	-0.562936194391157	-0.238786859587117	42.4181038572899	FBgn0004811	fs(2)ltoPP43	0.426	Eukaryota	non_HKs	0	non_TS_non_HK	0.139707872973344	0.742969278184607
CG10535	73	93	72	94	-0.349334252228014	-0.384663850235325	91.5880597292317	FBgn0037926	Elp1	0.34	Eukaryota	non_HKs	0	non_TS_non_HK	0.281860869115646	0.33057766211804
CG10538	150	174	161	163	-0.214124805352848	-0.0178112761164606	8.3181750414718	FBgn0032821	CdGAPr	0.499	Bilateria	non_HKs	0	non_TS_non_HK	0.367248207764956	1
CG10539	430	348	372	406	0.305249353740732	-0.126177106077145	22.6284611136974	FBgn0283472	S6k	0.314	Eukaryota	non_HKs	0	non_TS_non_HK	0.015227346619428	0.540768250212209
CG10540	256	201	214	243	0.348948308821071	-0.183345517204634	25.6198207852893	FBgn0034577	cpa	0.277	Eukaryota	non_HKs	0	non_TS_non_HK	0.0407906604528422	0.477314655915443
CG10542	130	174	147	157	-0.420575682820274	-0.0949484040552626	22.5758187964085	FBgn0086694	Bre1	0.388	Bilateria	non_HKs	0	non_TS_non_HK	0.0464744619371431	0.857334712590686
CG10543	56	126	91	91	-1.16992500144231	0	0	FBgn0034570	CG10543	0.319	Pan-drosophilid	non_HKs	0	non_TS_non_HK	2.549176342766e-06	1
CG10545	244	232	233	243	0.0727563424353141	-0.0606263589515007	31.2492410641955	FBgn0001105	Gbeta13F	0.203	Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian	HK	30.06717262	non_TS_HK	0.776077413308103	0.907079749981675
CG10555	75	111	107	79	-0.565597175854225	0.437686238224044	30.3744244387611	FBgn0030034	CG10555	0.375	Bilateria	non_HKs	0	non_TS_non_HK	0.0366886890594796	0.20459328220469
CG10561	82	56	57	81	0.55019708256048	-0.506959988719883	32.4118956109208	FBgn0002036	CG10561	0.682	Pan-drosophilid	non_HKs	0	TS	0.0946165393741932	0.21107811341501
CG10563	39	30	38	31	0.37851162325373	0.29373120305671	77.6016336121366	FBgn0086445	l(2)37Cd	0.421	Eukaryota	non_HKs	0	non_TS_non_HK	0.524300014449222	0.766189032044904
CG10565	133	111	117	127	0.260866569151084	-0.118319967188761	23.7825970815592	FBgn0037051	CG10565	0.363	Eukaryota	non_HKs	0	non_TS_non_HK	0.33624155192951	0.828822905568618
CG10570	180	123	184	119	0.549338590990435	0.628744192749069	88.786891929576	FBgn0040992	CG10570	0.944	Pan-drosophilid	non_HKs	0	TS	0.00616931223516763	0.00378335043462837
CG10574	153	152	168	137	0.00946032924906623	0.294285339818234	50.8167984946856	FBgn0028429	I-2	0.549	Eukaryota	non_HKs	0	non_TS_non_HK	1	0.296307268528079
CG10575	107	159	112	154	-0.571415968883208	-0.459431618637297	80.402306490528	FBgn0035632	Ppat-Dpck	0.317	Cellular_Organisms	non_HKs	0	non_TS_non_HK	0.0079723497452923	0.082154626277333
